CDU_ID,GEO_CODE,GEO_LABEL,Deprivation,Households_not_deprived,Total_methods_travel ,Work_from_home,Public_transport,Car_or_van,Other_travel
10580,E02000666,Lewisham 014,2859,1249,3725,358,2088,718,561
10581,E02000667,Lewisham 015,2595,1317,3489,319,1882,759,529
10582,E02000668,Lewisham 016,2816,1372,3499,331,1960,759,449
10583,E02000669,Lewisham 017,3270,1346,4074,307,2612,633,522
10584,E02000670,Lewisham 018,2748,909,2970,195,1688,688,399
10585,E02000671,Lewisham 019,3668,1677,4557,446,2733,801,577
10586,E02000672,Lewisham 020,3509,1218,4006,369,2333,801,503
10587,E02000673,Lewisham 021,3490,1759,4462,510,2589,798,565
10588,E02000674,Lewisham 022,3020,1283,3924,293,2003,1161,467
10589,E02000675,Lewisham 023,3419,1497,4202,316,1977,1410,499
10590,E02000676,Lewisham 024,3252,1512,4176,361,2313,937,565
10591,E02000677,Lewisham 025,2692,1094,3447,313,1727,986,421
10592,E02000678,Lewisham 026,2432,816,2601,172,1240,906,283
10593,E02000679,Lewisham 027,3455,1378,3945,360,2240,900,445
10594,E02000680,Lewisham 028,3016,1192,3257,302,1942,650,363
10595,E02000681,Lewisham 029,3268,1071,3594,243,1766,1102,483
10596,E02000682,Lewisham 030,3095,940,3328,252,1583,1116,377
10597,E02000683,Lewisham 031,2763,869,2740,204,1479,820,237
10598,E02000685,Lewisham 033,3357,1269,3659,318,2086,862,393
10599,E02000686,Lewisham 034,2839,796,2729,186,1428,760,355
10600,E02000687,Lewisham 035,3436,1406,3859,361,2183,860,455
10601,E02000689,Merton 001,3230,1804,4724,521,2738,825,640
10602,E02000690,Merton 002,2300,1498,2517,554,1027,603,333
10603,E02000691,Merton 003,2968,1773,4411,443,2670,656,642
10604,E02000692,Merton 004,3686,2221,4440,552,2733,646,509
10605,E02000693,Merton 005,3973,1914,5919,396,3637,956,930
10606,E02000694,Merton 006,3828,2174,5351,471,3317,817,746
10607,E02000695,Merton 007,2813,1093,4242,305,2244,1195,498
10608,E02000696,Merton 008,3185,1235,4399,278,2500,983,638
10609,E02000697,Merton 009,3577,2187,5334,489,3510,709,626
10610,E02000698,Merton 010,3146,1986,3979,591,1925,1013,450
10611,E02000699,Merton 011,3205,1975,4619,476,2649,882,612
10612,E02000700,Merton 012,3367,1130,4309,282,2346,981,700
10613,E02000701,Merton 013,3006,1017,3972,280,1967,1195,530
10614,E02000702,Merton 014,2964,983,3548,247,1715,1136,450
10615,E02000703,Merton 015,2961,1603,3985,483,1871,1053,578
10616,E02000704,Merton 016,3409,1658,4498,396,2438,1080,584
10617,E02000705,Merton 017,2836,1136,3966,311,1835,1412,408
10618,E02000706,Merton 018,3259,899,3801,221,1945,1033,602
10619,E02000707,Merton 019,2683,849,3302,219,1527,1208,348
10620,E02000708,Merton 020,3011,1584,4343,436,1935,1415,557
10621,E02000709,Merton 021,2874,1405,3981,398,1493,1539,551
